"Refs","Value","Footprint","Qty","Description","Mfr","MPN","LCSC"
"C1-C7","100nF","Capacitor_SMD:C_0805_2012Metric","7","100V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","","",""
"C8","10nF","Capacitor_SMD:C_0805_2012Metric","1","10nF 50V X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","","",""
"D1,D17-D24","RED","LED_SMD:LED_0805_2012Metric","9","-30℃~+85℃ 1.6V~2.6V 130° 195mcd 25mA 615nm~630nm 630nm 65mW Discrete Diode Red 0805 LED Indication - Discrete ROHS","","",""
"D2","GREEN","LED_SMD:LED_0805_2012Metric","1","-30℃~+85℃ 130° 2.5V~3.6V 20mA 400mcd 520nm 525nm~537.5nm 72mW Green 0805 LED Indication - Discrete ROHS","","",""
"D3","BLUE","LED_SMD:LED_0805_2012Metric","1","-30℃~+85℃ 130° 2.5V~3.6V 20mA 465nm 468nm~478nm 55mcd 72mW Blue 0805 LED Indication - Discrete ROHS","","",""
"D4,D7,D9,D13-D15","SMBJ24A","Diode_SMD:D_SMB","6","-65℃~+150℃ 15.5A@10/1000us 1uA 24V 29.5V 38.9V 390pF 600W@10/1000us IEC 61000-4-2 TVS Unidirectional DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS","","",""
"D5,D6,D8,D10-D12,D16","BZX84C3V3LT1G","BZX84C3V3LT1G:SOT95P240X111-3N","7","-65℃~+150℃ 250mW 3.1V~3.5V 3.3V 5uA@1V 95Ω Independent SOT-23 Zener Diodes ROHS","","",""
"F1","500mA","Fuse:Fuse_1206_3216Metric","1","-40℃~+85℃ 150mΩ 1A 24V 40A 500mA 600mW 700mΩ 8s 1206 Resettable Fuses ROHS","","",""
"J1","Emergency Open","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x02_P3.50mm_Vertical","1","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J2","Lamp Monitor","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x02_P3.50mm_Vertical","1","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J3","Manual Button","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x02_P3.50mm_Vertical","1","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J10","GPIO","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","1","-40℃~+105℃ 2 2.54mm 2.54mm 2.5A 2x20P 40P 8.5mm Square Hole Through Hole Top Plugin,P=2.54mm Female Headers ROHS","","",""
"J11","Gate Trigger","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x02_P3.50mm_Vertical","1","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J12","Lock Monitor","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x02_P3.50mm_Vertical","1","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J13","Limit Open","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x02_P3.50mm_Vertical","1","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J14","Limit Closed","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x02_P3.50mm_Vertical","1","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J15","Photo Sensor","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x02_P3.50mm_Vertical","1","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J16","Power Monitor","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x02_P3.50mm_Vertical","1","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"R1,R7,R8,R10,R12-R14","2.2K","Resistor_SMD:R_0805_2012Metric","7","-55℃~+155℃ 125mW 150V 2.2kΩ Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS","","",""
"R2,R4","150R","Resistor_SMD:R_0805_2012Metric","2","-55℃~+155℃ 125mW 150V 150Ω Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS","","",""
"R6,R9,R11,R15-R17","20K","Resistor_SMD:R_0805_2012Metric","6","-55℃~+155℃ 125mW 150V 20kΩ Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS","","",""
"R18","100R","Resistor_SMD:R_0805_2012Metric","1","-55℃~+155℃ 100Ω 125mW 150V Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS","","",""
"R19-R29","330R","Resistor_SMD:R_0805_2012Metric","11","-55℃~+155℃ 125mW 150V 330Ω Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS","","",""
"U1,U2","PC817","Package_DIP:DIP-4_W7.62mm_SMDSocket_SmallPads","2","DC Optocoupler, Vce 35V, CTR 50-300%, DIP-4","","",""
